Datum:09.05.2019
Uhrzeit:15:07:28
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0338000000	0.0249300000	0.0136815175
400.0000000000	0.1089200000	0.0822100000	0.0136915113
450.0000000000	0.0172800000	0.0131380000	0.0136815175
500.0000000000	0.0278450000	0.0182500000	0.0136815175
550.0000000000	0.0466000000	0.0236900000	0.0136815175
600.0000000000	0.0638200000	0.0302950000	0.0136915113
650.0000000000	0.0720000000	0.0532600000	0.0136915113
700.0000000000	0.0879700000	0.0840600000	0.0136915113
750.0000000000	0.0752300000	0.1117600000	0.0136915113
800.0000000000	0.0768000000	0.1285200000	0.0136915113
850.0000000000	0.0754900000	0.1478200000	0.0136915113
900.0000000000	0.0959000000	0.1973500000	0.0136915113
950.0000000000	0.1107800000	0.2497000000	0.0136915113
1000.0000000000	0.1163600000	0.2907000000	0.0136915113
1050.0000000000	0.1034800000	0.3124500000	0.0136915113
1100.0000000000	0.0671600000	0.3208500000	0.0136915113
