Datum:09.05.2019
Uhrzeit:15:11:34
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0247450000	0.0187700000	0.0242649557
400.0000000000	0.1015600000	0.0756900000	0.0242649557
450.0000000000	0.0173450000	0.0131140000	0.0242549619
500.0000000000	0.0277200000	0.0182100000	0.0242449681
550.0000000000	0.0466700000	0.0236400000	0.0242449681
600.0000000000	0.0638100000	0.0302300000	0.0242349743
650.0000000000	0.0719400000	0.0532000000	0.0242449681
700.0000000000	0.0880200000	0.0840800000	0.0242349743
750.0000000000	0.0752900000	0.1117200000	0.0242349743
800.0000000000	0.0767400000	0.1285000000	0.0242349743
850.0000000000	0.0755300000	0.1478200000	0.0242249805
900.0000000000	0.0961600000	0.1973000000	0.0242349743
950.0000000000	0.1111000000	0.2496000000	0.0242349743
1000.0000000000	0.1168200000	0.2905000000	0.0242249805
1050.0000000000	0.1039600000	0.3122500000	0.0242249805
1100.0000000000	0.0675400000	0.3205000000	0.0242249805
