Datum:09.05.2019
Uhrzeit:15:25:45
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0288800000	0.0204800000	0.1021766505
400.0000000000	0.0847000000	0.0644400000	0.1021866443
450.0000000000	0.0173350000	0.0130980000	0.1020867062
500.0000000000	0.0277400000	0.0181800000	0.1021066938
550.0000000000	0.0466800000	0.0235750000	0.1019367992
600.0000000000	0.0637100000	0.0301800000	0.1019268054
650.0000000000	0.0719800000	0.0530600000	0.1019068178
700.0000000000	0.0881500000	0.0840100000	0.1018868302
750.0000000000	0.0754400000	0.1116200000	0.1019367992
800.0000000000	0.0770600000	0.1285200000	0.1018568488
850.0000000000	0.0757800000	0.1478000000	0.1018468549
900.0000000000	0.0964800000	0.1969500000	0.1018868302
950.0000000000	0.1119200000	0.2490000000	0.1019068178
1000.0000000000	0.1182600000	0.2899500000	0.1019168116
1050.0000000000	0.1056200000	0.3118500000	0.1019367992
1100.0000000000	0.0686600000	0.3202000000	0.1019367992
