Datum:09.05.2019
Uhrzeit:15:28:52
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0255800000	0.0182800000	0.1309887870
400.0000000000	0.1025000000	0.0728200000	0.1311087126
450.0000000000	0.0173250000	0.0131000000	0.1309687993
500.0000000000	0.0277300000	0.0181800000	0.1310587436
550.0000000000	0.0466700000	0.0236100000	0.1310087746
600.0000000000	0.0637600000	0.0301850000	0.1310187684
650.0000000000	0.0720500000	0.0530500000	0.1310387560
700.0000000000	0.0881900000	0.0839500000	0.1311386940
750.0000000000	0.0754900000	0.1116000000	0.1310487498
800.0000000000	0.0771200000	0.1284600000	0.1310987188
850.0000000000	0.0758600000	0.1477400000	0.1310687374
900.0000000000	0.0965400000	0.1969000000	0.1311087126
950.0000000000	0.1120400000	0.2489000000	0.1312286382
1000.0000000000	0.1184800000	0.2898000000	0.1312186444
1050.0000000000	0.1059000000	0.3116500000	0.1311586816
1100.0000000000	0.0689600000	0.3200000000	0.1310987188
