Datum:09.05.2019
Uhrzeit:15:55:42
Wavelength	Sample	Monitor	Ibias
350.0000000000	0.0163500000	0.0145960000	0.0525474206
400.0000000000	0.0785000000	0.0632300000	0.0525274330
450.0000000000	0.0167050000	0.0130500000	0.0524974516
500.0000000000	0.0269500000	0.0181750000	0.0524874578
550.0000000000	0.0453600000	0.0236000000	0.0524774640
600.0000000000	0.0618700000	0.0301650000	0.0524674702
650.0000000000	0.0699800000	0.0528800000	0.0524574764
700.0000000000	0.0853900000	0.0836800000	0.0524474826
750.0000000000	0.0731300000	0.1113400000	0.0524274950
800.0000000000	0.0747200000	0.1284800000	0.0524274950
850.0000000000	0.0731300000	0.1475200000	0.0524075073
900.0000000000	0.0919400000	0.1961500000	0.0524075073
950.0000000000	0.1043600000	0.2479000000	0.0523975135
1000.0000000000	0.1034600000	0.2888500000	0.0523875197
1050.0000000000	0.0805200000	0.3107500000	0.0523675321
1100.0000000000	0.0407700000	0.3191500000	0.0523575383
