Datum:08.05.2019
Uhrzeit:13:03:26
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0031330000	0.0029955000	0.0425536168
400.0000000000	0.0774500000	0.0590900000	0.0425636106
500.0000000000	0.0270050000	0.0181100000	0.0425736044
600.0000000000	0.0621000000	0.0300600000	0.0425636106
700.0000000000	0.0865000000	0.0836500000	0.0425736044
800.0000000000	0.0764100000	0.1285000000	0.0425636106
900.0000000000	0.0938200000	0.1962000000	0.0425636106
1000.0000000000	0.1043600000	0.2891000000	0.0425636106
1100.0000000000	0.0374100000	0.3197000000	0.0425636106
1200.0000000000	0.0004747000	0.3098500000	0.0425536168
