Datum:08.05.2019
Uhrzeit:13:01:06
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0030225000	0.0029175000	0.0425136415
400.0000000000	0.0715500000	0.0560900000	0.0425136415
500.0000000000	0.0269600000	0.0181050000	0.0425136415
600.0000000000	0.0621000000	0.0300350000	0.0425236353
700.0000000000	0.0865100000	0.0836200000	0.0425236353
800.0000000000	0.0764500000	0.1285800000	0.0425136415
900.0000000000	0.0938000000	0.1962000000	0.0425236353
1000.0000000000	0.1043200000	0.2892500000	0.0424936539
1100.0000000000	0.0373200000	0.3196500000	0.0425236353
1200.0000000000	0.0004534000	0.3100500000	0.0425336291
