Datum:08.05.2019
Uhrzeit:11:54:50
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0059260000	0.0047280000	0.0413543603
400.0000000000	0.1908000000	0.1168000000	0.0413743479
500.0000000000	0.0270100000	0.0180350000	0.0413443665
600.0000000000	0.0620000000	0.0299800000	0.0413443665
700.0000000000	0.0853600000	0.0838600000	0.0413443665
800.0000000000	0.0743000000	0.1285400000	0.0413543603
900.0000000000	0.0919800000	0.1970500000	0.0413543603
1000.0000000000	0.1030600000	0.2899500000	0.0413543603
1100.0000000000	0.0403900000	0.3203500000	0.0413443665
1200.0000000000	0.0005388000	0.3103500000	0.0413343727
