Datum:08.05.2019
Uhrzeit:12:32:55
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0029055000	0.0029760000	0.0412644161
400.0000000000	0.0780300000	0.0606400000	0.0412744099
500.0000000000	0.0268750000	0.0181150000	0.0412644161
600.0000000000	0.0618800000	0.0301000000	0.0412644161
700.0000000000	0.0853400000	0.0837600000	0.0412644161
800.0000000000	0.0744400000	0.1285200000	0.0412644161
900.0000000000	0.0917000000	0.1963500000	0.0412744099
1000.0000000000	0.1031000000	0.2893000000	0.0412744099
1100.0000000000	0.0406200000	0.3198000000	0.0412644161
1200.0000000000	0.0005160000	0.3100000000	0.0412644161
300.0000000000	0.0029055000	0.0029760000	0.0412644161
400.0000000000	0.0780300000	0.0606400000	0.0412744099
500.0000000000	0.0268750000	0.0181150000	0.0412644161
600.0000000000	0.0618800000	0.0301000000	0.0412644161
700.0000000000	0.0853400000	0.0837600000	0.0412644161
800.0000000000	0.0744400000	0.1285200000	0.0412644161
900.0000000000	0.0917000000	0.1963500000	0.0412744099
1000.0000000000	0.1031000000	0.2893000000	0.0412744099
1100.0000000000	0.0406200000	0.3198000000	0.0412644161
1200.0000000000	0.0005160000	0.3100000000	0.0412644161
