Datum:08.05.2019
Uhrzeit:12:48:12
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0030930000	0.0031110000	0.0412644161
400.0000000000	0.0835600000	0.0647000000	0.0412744099
500.0000000000	0.0268500000	0.0181150000	0.0412644161
600.0000000000	0.0617900000	0.0300650000	0.0412644161
700.0000000000	0.0853800000	0.0837100000	0.0412744099
800.0000000000	0.0745500000	0.1285600000	0.0412644161
900.0000000000	0.0917600000	0.1962500000	0.0412644161
1000.0000000000	0.1031000000	0.2892500000	0.0412744099
1100.0000000000	0.0406200000	0.3198000000	0.0412644161
1200.0000000000	0.0005079000	0.3099500000	0.0412544223
