Datum:08.05.2019
Uhrzeit:12:37:38
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0030930000	0.0031280000	0.0412644161
400.0000000000	0.0813400000	0.0638000000	0.0412544223
500.0000000000	0.0268900000	0.0181200000	0.0412544223
600.0000000000	0.0618800000	0.0300500000	0.0412644161
700.0000000000	0.0852800000	0.0837100000	0.0412644161
800.0000000000	0.0744600000	0.1285800000	0.0412644161
900.0000000000	0.0917000000	0.1964500000	0.0412544223
1000.0000000000	0.1031600000	0.2894000000	0.0412544223
1100.0000000000	0.0405800000	0.3198500000	0.0412544223
1200.0000000000	0.0005525000	0.3101000000	0.0412544223
