Datum:08.05.2019
Uhrzeit:13:25:10
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0040770000	0.0035470000	0.0425636106
400.0000000000	0.1196000000	0.0835800000	0.0425636106
500.0000000000	0.0270150000	0.0181450000	0.0425536168
600.0000000000	0.0621600000	0.0301150000	0.0425636106
700.0000000000	0.0866300000	0.0837300000	0.0425636106
800.0000000000	0.0765500000	0.1286800000	0.0425636106
900.0000000000	0.0938600000	0.1960500000	0.0425636106
1000.0000000000	0.1043400000	0.2890000000	0.0425736044
1100.0000000000	0.0374400000	0.3195500000	0.0425636106
1200.0000000000	0.0004598000	0.3098500000	0.0425536168
