Datum:08.05.2019
Uhrzeit:13:44:46
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0036490000	0.0033730000	0.0425536168
400.0000000000	0.1039600000	0.0729900000	0.0425436230
500.0000000000	0.0269650000	0.0181450000	0.0425636106
600.0000000000	0.0620300000	0.0301300000	0.0425636106
700.0000000000	0.0865400000	0.0836500000	0.0425736044
800.0000000000	0.0765400000	0.1285600000	0.0425636106
900.0000000000	0.0937200000	0.1959000000	0.0425736044
1000.0000000000	0.1044200000	0.2890500000	0.0425736044
1100.0000000000	0.0374500000	0.3195000000	0.0425636106
1200.0000000000	0.0004568000	0.3097000000	0.0425536168
