Datum:08.05.2019
Uhrzeit:12:07:43
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0038420000	0.0036550000	0.0413243789
400.0000000000	0.0907000000	0.0696800000	0.0413343727
500.0000000000	0.0269300000	0.0180300000	0.0413243789
600.0000000000	0.0618700000	0.0299800000	0.0413343727
700.0000000000	0.0853800000	0.0838100000	0.0413343727
800.0000000000	0.0742700000	0.1285000000	0.0413343727
900.0000000000	0.0918000000	0.1967500000	0.0413343727
1000.0000000000	0.1030600000	0.2897500000	0.0413343727
1100.0000000000	0.0404800000	0.3201500000	0.0413343727
1200.0000000000	0.0005376000	0.3103000000	0.0413243789
