Datum:08.05.2019
Uhrzeit:12:12:42
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0030080000	0.0029970000	0.0413243789
400.0000000000	0.1028200000	0.0736900000	0.0413343727
500.0000000000	0.0269550000	0.0180500000	0.0413243789
600.0000000000	0.0619200000	0.0300300000	0.0413243789
700.0000000000	0.0853600000	0.0837900000	0.0413243789
800.0000000000	0.0743400000	0.1285800000	0.0413243789
900.0000000000	0.0918800000	0.1967500000	0.0413243789
1000.0000000000	0.1031800000	0.2898500000	0.0413243789
1100.0000000000	0.0405700000	0.3201000000	0.0413143851
1200.0000000000	0.0005324000	0.3104000000	0.0413143851
