Datum:08.05.2019
Uhrzeit:12:18:33
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0039370000	0.0037030000	0.0413043913
400.0000000000	0.0916200000	0.0647700000	0.0413143851
500.0000000000	0.0269250000	0.0180850000	0.0413043913
600.0000000000	0.0619100000	0.0300300000	0.0413143851
700.0000000000	0.0852900000	0.0837800000	0.0413143851
800.0000000000	0.0743500000	0.1286000000	0.0413043913
900.0000000000	0.0918200000	0.1966500000	0.0413143851
1000.0000000000	0.1031200000	0.2896500000	0.0413143851
1100.0000000000	0.0406000000	0.3201500000	0.0413043913
1200.0000000000	0.0004927000	0.3102500000	0.0412943975
