Datum:08.05.2019
Uhrzeit:13:32:16
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0028620000	0.0028105000	0.0425536168
400.0000000000	0.0808300000	0.0607000000	0.0425636106
500.0000000000	0.0269700000	0.0181800000	0.0425536168
600.0000000000	0.0620700000	0.0300950000	0.0425536168
700.0000000000	0.0865300000	0.0836700000	0.0425636106
800.0000000000	0.0765700000	0.1285600000	0.0425536168
900.0000000000	0.0938000000	0.1960000000	0.0425636106
1000.0000000000	0.1044200000	0.2889500000	0.0425636106
1100.0000000000	0.0373900000	0.3194500000	0.0425536168
1200.0000000000	0.0004523000	0.3097000000	0.0425536168
