Datum:08.05.2019
Uhrzeit:12:40:10
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0033060000	0.0032840000	0.0412344347
400.0000000000	0.0920000000	0.0699900000	0.0412144470
500.0000000000	0.0268650000	0.0181100000	0.0412044532
600.0000000000	0.0618500000	0.0300800000	0.0411644780
700.0000000000	0.0853400000	0.0838200000	0.0412144470
800.0000000000	0.0744600000	0.1286200000	0.0411744718
900.0000000000	0.0917200000	0.1964000000	0.0412244408
1000.0000000000	0.1030800000	0.2893500000	0.0411844656
1100.0000000000	0.0406700000	0.3197500000	0.0412144470
1200.0000000000	0.0005056000	0.3100000000	0.0412244408
