Datum:08.05.2019
Uhrzeit:13:29:52
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0032290000	0.0030525000	0.0425636106
400.0000000000	0.0813100000	0.0612700000	0.0425636106
500.0000000000	0.0269950000	0.0181300000	0.0425636106
600.0000000000	0.0620700000	0.0301100000	0.0425636106
700.0000000000	0.0865500000	0.0836900000	0.0425636106
800.0000000000	0.0765700000	0.1286600000	0.0425636106
900.0000000000	0.0938000000	0.1961000000	0.0425736044
1000.0000000000	0.1044000000	0.2890500000	0.0425636106
1100.0000000000	0.0374000000	0.3195500000	0.0425636106
1200.0000000000	0.0004501000	0.3099000000	0.0425536168
