Datum:08.05.2019
Uhrzeit:11:47:07
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0059600000	0.0047720000	0.0413543603
400.0000000000	0.1949000000	0.1190800000	0.0413843417
500.0000000000	0.0270300000	0.0180050000	0.0413743479
600.0000000000	0.0619900000	0.0299100000	0.0413643541
700.0000000000	0.0854000000	0.0838700000	0.0413743479
800.0000000000	0.0742500000	0.1285400000	0.0413743479
900.0000000000	0.0921200000	0.1971500000	0.0413743479
1000.0000000000	0.1031200000	0.2901500000	0.0413743479
1100.0000000000	0.0403500000	0.3204000000	0.0413643541
1200.0000000000	0.0004815000	0.3106000000	0.0413643541
