Datum:08.05.2019
Uhrzeit:13:54:46
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0034020000	0.0032540000	0.0425536168
400.0000000000	0.0946400000	0.0677500000	0.0425636106
500.0000000000	0.0269650000	0.0181600000	0.0425536168
600.0000000000	0.0620900000	0.0301350000	0.0425636106
700.0000000000	0.0865300000	0.0836400000	0.0425636106
800.0000000000	0.0765300000	0.1285600000	0.0425636106
900.0000000000	0.0936600000	0.1958000000	0.0425636106
1000.0000000000	0.1043600000	0.2887000000	0.0425636106
1100.0000000000	0.0374200000	0.3193000000	0.0425536168
1200.0000000000	0.0004523000	0.3097000000	0.0425536168
