Datum:08.05.2019
Uhrzeit:13:49:35
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0036420000	0.0033280000	0.0425436230
400.0000000000	0.1005800000	0.0712900000	0.0425636106
500.0000000000	0.0269850000	0.0181700000	0.0425636106
600.0000000000	0.0620300000	0.0301200000	0.0425636106
700.0000000000	0.0865400000	0.0836300000	0.0425736044
800.0000000000	0.0766000000	0.1286600000	0.0425736044
900.0000000000	0.0938200000	0.1961000000	0.0425736044
1000.0000000000	0.1044200000	0.2890000000	0.0425636106
1100.0000000000	0.0374100000	0.3194500000	0.0425536168
1200.0000000000	0.0004373000	0.3097500000	0.0425536168
