Datum:08.05.2019
Uhrzeit:13:18:00
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0030495000	0.0029120000	0.0425835982
400.0000000000	0.0711200000	0.0559500000	0.0425935920
500.0000000000	0.0270350000	0.0181350000	0.0425835982
600.0000000000	0.0621200000	0.0301100000	0.0425835982
700.0000000000	0.0865200000	0.0836800000	0.0425835982
800.0000000000	0.0765400000	0.1286000000	0.0425835982
900.0000000000	0.0938200000	0.1960500000	0.0425736044
1000.0000000000	0.1044400000	0.2890500000	0.0425835982
1100.0000000000	0.0373600000	0.3195000000	0.0425835982
1200.0000000000	0.0004895000	0.3098000000	0.0425636106
