Datum:08.05.2019
Uhrzeit:12:45:51
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0030780000	0.0030930000	0.0412544223
400.0000000000	0.0757000000	0.0604700000	0.0412544223
500.0000000000	0.0268450000	0.0181100000	0.0412544223
600.0000000000	0.0618100000	0.0300900000	0.0412544223
700.0000000000	0.0853600000	0.0837400000	0.0412544223
800.0000000000	0.0745100000	0.1286200000	0.0412544223
900.0000000000	0.0917000000	0.1964000000	0.0412544223
1000.0000000000	0.1031200000	0.2893000000	0.0412644161
1100.0000000000	0.0406400000	0.3197500000	0.0412544223
1200.0000000000	0.0005123000	0.3100500000	0.0412544223
