Datum:08.05.2019
Uhrzeit:13:52:20
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0037160000	0.0033830000	0.0425536168
400.0000000000	0.1050400000	0.0731600000	0.0425736044
500.0000000000	0.0269650000	0.0181500000	0.0425636106
600.0000000000	0.0620400000	0.0301800000	0.0425636106
700.0000000000	0.0865400000	0.0836400000	0.0425636106
800.0000000000	0.0766100000	0.1286000000	0.0425636106
900.0000000000	0.0937400000	0.1959500000	0.0425636106
1000.0000000000	0.1044200000	0.2888500000	0.0425636106
1100.0000000000	0.0373700000	0.3193500000	0.0425536168
1200.0000000000	0.0005039000	0.3097500000	0.0425236353
