Datum:09.05.2019
Uhrzeit:12:35:26
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0037960000	0.0033310000	0.0432132078
310.0000000000	0.0059250000	0.0047550000	0.0432132078
320.0000000000	0.0104240000	0.0073680000	0.0432032140
330.0000000000	0.0141140000	0.0095300000	0.0432032140
340.0000000000	0.0186500000	0.0131560000	0.0431932202
350.0000000000	0.0243600000	0.0180040000	0.0431732326
360.0000000000	0.0379350000	0.0257150000	0.0431832264
370.0000000000	0.0361800000	0.0254950000	0.0431932202
380.0000000000	0.0382500000	0.0311750000	0.0432032140
390.0000000000	0.0447200000	0.0378850000	0.0432032140
400.0000000000	0.0864500000	0.0677400000	0.0431932202
410.0000000000	0.1122400000	0.0859200000	0.0432032140
420.0000000000	0.1389600000	0.1101600000	0.0432032140
430.0000000000	0.0102700000	0.0089340000	0.0431932202
440.0000000000	0.0133540000	0.0108700000	0.0431932202
450.0000000000	0.0171860000	0.0130060000	0.0431932202
460.0000000000	0.0168740000	0.0125320000	0.0431932202
470.0000000000	0.0196700000	0.0141900000	0.0431932202
480.0000000000	0.0220200000	0.0156500000	0.0431832264
490.0000000000	0.0246850000	0.0169700000	0.0431932202
500.0000000000	0.0276350000	0.0181100000	0.0431932202
510.0000000000	0.0329350000	0.0194050000	0.0431932202
520.0000000000	0.0382650000	0.0207300000	0.0431932202
530.0000000000	0.0405800000	0.0216400000	0.0431832264
540.0000000000	0.0431150000	0.0225100000	0.0431932202
550.0000000000	0.0465200000	0.0235200000	0.0431932202
560.0000000000	0.0499700000	0.0246150000	0.0431932202
570.0000000000	0.0535300000	0.0256600000	0.0431832264
580.0000000000	0.0570100000	0.0266700000	0.0431932202
590.0000000000	0.0604200000	0.0279800000	0.0431832264
600.0000000000	0.0635800000	0.0300900000	0.0431832264
610.0000000000	0.0666300000	0.0333650000	0.0431932202
620.0000000000	0.0694100000	0.0374900000	0.0431932202
630.0000000000	0.0719700000	0.0423450000	0.0431932202
640.0000000000	0.0740100000	0.0475700000	0.0431832264
650.0000000000	0.0719300000	0.0529400000	0.0431932202
660.0000000000	0.0712600000	0.0584700000	0.0431832264
670.0000000000	0.0787000000	0.0648000000	0.0431832264
680.0000000000	0.0836900000	0.0711600000	0.0431832264
690.0000000000	0.0863100000	0.0773100000	0.0431832264
700.0000000000	0.0879600000	0.0837900000	0.0431832264
710.0000000000	0.0892600000	0.0903800000	0.0431832264
720.0000000000	0.0904600000	0.0971800000	0.0431932202
730.0000000000	0.0872000000	0.1031200000	0.0431832264
740.0000000000	0.0793000000	0.1073800000	0.0431832264
750.0000000000	0.0753200000	0.1115400000	0.0431832264
760.0000000000	0.0766800000	0.1158400000	0.0431832264
770.0000000000	0.0785000000	0.1198400000	0.0431832264
780.0000000000	0.0789400000	0.1232600000	0.0431832264
790.0000000000	0.0782000000	0.1260800000	0.0431832264
800.0000000000	0.0770000000	0.1286400000	0.0431832264
810.0000000000	0.0756600000	0.1310200000	0.0431832264
820.0000000000	0.0745200000	0.1338000000	0.0431832264
830.0000000000	0.0740000000	0.1372200000	0.0431832264
840.0000000000	0.0742600000	0.1418800000	0.0431832264
850.0000000000	0.0755600000	0.1477800000	0.0431732326
860.0000000000	0.0778800000	0.1552800000	0.0431832264
870.0000000000	0.0810000000	0.1641200000	0.0431832264
880.0000000000	0.0848800000	0.1743000000	0.0431732326
890.0000000000	0.0890600000	0.1849500000	0.0431732326
900.0000000000	0.0955200000	0.1964500000	0.0431732326
910.0000000000	0.1061800000	0.2093500000	0.0431732326
920.0000000000	0.1095000000	0.2208500000	0.0431732326
930.0000000000	0.1087400000	0.2305500000	0.0431632388
940.0000000000	0.1091800000	0.2394000000	0.0431632388
950.0000000000	0.1104000000	0.2482500000	0.0431632388
960.0000000000	0.1125400000	0.2583500000	0.0431732326
970.0000000000	0.1143600000	0.2677500000	0.0431732326
980.0000000000	0.1155200000	0.2759000000	0.0431732326
990.0000000000	0.1161600000	0.2831000000	0.0431732326
1000.0000000000	0.1160800000	0.2893500000	0.0431632388
1010.0000000000	0.1153400000	0.2949500000	0.0431632388
1020.0000000000	0.1138200000	0.3002000000	0.0431632388
1030.0000000000	0.1111400000	0.3046500000	0.0431732326
1040.0000000000	0.1072400000	0.3080500000	0.0431732326
1050.0000000000	0.1018200000	0.3113000000	0.0431732326
1060.0000000000	0.0948600000	0.3151500000	0.0431632388
1070.0000000000	0.0870400000	0.3167500000	0.0431632388
1080.0000000000	0.0797200000	0.3186000000	0.0431732326
1090.0000000000	0.0718600000	0.3194500000	0.0431632388
1100.0000000000	0.0635800000	0.3197500000	0.0431732326
1110.0000000000	0.0549600000	0.3196500000	0.0431732326
1120.0000000000	0.0462200000	0.3183500000	0.0431632388
1130.0000000000	0.0374100000	0.3171500000	0.0431732326
1140.0000000000	0.0291450000	0.3171500000	0.0431732326
1150.0000000000	0.0212700000	0.3172500000	0.0431632388
1160.0000000000	0.0142520000	0.3171000000	0.0431732326
1170.0000000000	0.0082340000	0.3165000000	0.0431632388
1180.0000000000	0.0034850000	0.3150000000	0.0431632388
1190.0000000000	0.0014128000	0.3132500000	0.0431632388
1200.0000000000	0.0008042000	0.3099000000	0.0431532450
