Datum:09.05.2019
Uhrzeit:13:47:51
Wavelength	Sample	Monitor	Ibias
300.0000000000	0.0040900000	0.0034530000	0.0439027803
310.0000000000	0.0059160000	0.0047790000	0.0439027803
320.0000000000	0.0119380000	0.0081900000	0.0439027803
330.0000000000	0.0158880000	0.0103800000	0.0439027803
340.0000000000	0.0208700000	0.0144460000	0.0439127741
350.0000000000	0.0218100000	0.0169880000	0.0438927865
360.0000000000	0.0262500000	0.0208850000	0.0438927865
370.0000000000	0.0385050000	0.0283550000	0.0438727989
380.0000000000	0.0457800000	0.0354300000	0.0438628051
390.0000000000	0.0680500000	0.0528100000	0.0438628051
400.0000000000	0.0947000000	0.0720300000	0.0438727989
410.0000000000	0.1096000000	0.0850500000	0.0438727989
420.0000000000	0.1310600000	0.1022600000	0.0438727989
430.0000000000	0.0101000000	0.0089600000	0.0438727989
440.0000000000	0.0131200000	0.0109160000	0.0438628051
450.0000000000	0.0169520000	0.0130680000	0.0438628051
460.0000000000	0.0166420000	0.0126120000	0.0438628051
470.0000000000	0.0194400000	0.0142880000	0.0438628051
480.0000000000	0.0218050000	0.0157700000	0.0438628051
490.0000000000	0.0243950000	0.0170900000	0.0438628051
500.0000000000	0.0273350000	0.0182550000	0.0438727989
510.0000000000	0.0325450000	0.0195900000	0.0438628051
520.0000000000	0.0378900000	0.0209300000	0.0438628051
530.0000000000	0.0403200000	0.0218600000	0.0438628051
540.0000000000	0.0428350000	0.0227350000	0.0438628051
550.0000000000	0.0461400000	0.0237450000	0.0438628051
560.0000000000	0.0496400000	0.0248450000	0.0438628051
570.0000000000	0.0531800000	0.0259250000	0.0438727989
580.0000000000	0.0566200000	0.0269650000	0.0438927865
590.0000000000	0.0600700000	0.0282400000	0.0439027803
600.0000000000	0.0632600000	0.0302800000	0.0438927865
610.0000000000	0.0662700000	0.0334900000	0.0439027803
620.0000000000	0.0690800000	0.0375750000	0.0438727989
630.0000000000	0.0716100000	0.0423600000	0.0438628051
640.0000000000	0.0737300000	0.0476000000	0.0438628051
650.0000000000	0.0718100000	0.0529500000	0.0438727989
660.0000000000	0.0709300000	0.0584400000	0.0438727989
670.0000000000	0.0782400000	0.0647100000	0.0438628051
680.0000000000	0.0833400000	0.0710900000	0.0438628051
690.0000000000	0.0860600000	0.0772200000	0.0438628051
700.0000000000	0.0877100000	0.0836900000	0.0438727989
710.0000000000	0.0891100000	0.0902200000	0.0438628051
720.0000000000	0.0904400000	0.0971200000	0.0438727989
730.0000000000	0.0873000000	0.1030200000	0.0438628051
740.0000000000	0.0794800000	0.1073600000	0.0438628051
750.0000000000	0.0753800000	0.1114800000	0.0438927865
760.0000000000	0.0766000000	0.1158000000	0.0438628051
770.0000000000	0.0785200000	0.1197400000	0.0438628051
780.0000000000	0.0790000000	0.1232200000	0.0438727989
790.0000000000	0.0784000000	0.1261200000	0.0438727989
800.0000000000	0.0773000000	0.1286200000	0.0438628051
810.0000000000	0.0759000000	0.1310200000	0.0438628051
820.0000000000	0.0747200000	0.1337800000	0.0439027803
830.0000000000	0.0742400000	0.1371200000	0.0439027803
840.0000000000	0.0745400000	0.1417200000	0.0439027803
850.0000000000	0.0757400000	0.1475000000	0.0439127741
860.0000000000	0.0780800000	0.1550000000	0.0439027803
870.0000000000	0.0811800000	0.1637000000	0.0439027803
880.0000000000	0.0851200000	0.1738800000	0.0439127741
890.0000000000	0.0892400000	0.1843000000	0.0439127741
900.0000000000	0.0956400000	0.1958500000	0.0439127741
910.0000000000	0.1063200000	0.2085000000	0.0439027803
920.0000000000	0.1098800000	0.2199500000	0.0438628051
930.0000000000	0.1092800000	0.2296500000	0.0438628051
940.0000000000	0.1096800000	0.2384000000	0.0438727989
950.0000000000	0.1111200000	0.2472000000	0.0438927865
960.0000000000	0.1133800000	0.2572500000	0.0438727989
970.0000000000	0.1153200000	0.2666000000	0.0438727989
980.0000000000	0.1167600000	0.2748500000	0.0438727989
990.0000000000	0.1176000000	0.2820500000	0.0438827927
1000.0000000000	0.1178400000	0.2883000000	0.0439227679
1010.0000000000	0.1175400000	0.2938500000	0.0439227679
1020.0000000000	0.1165600000	0.2991000000	0.0439227679
1030.0000000000	0.1146600000	0.3034500000	0.0439227679
1040.0000000000	0.1118400000	0.3069500000	0.0439127741
1050.0000000000	0.1077000000	0.3102000000	0.0439127741
1060.0000000000	0.1023200000	0.3138500000	0.0438927865
1070.0000000000	0.0954800000	0.3156500000	0.0438827927
1080.0000000000	0.0887200000	0.3175000000	0.0438428175
1090.0000000000	0.0817200000	0.3183500000	0.0438428175
1100.0000000000	0.0741000000	0.3187500000	0.0438428175
1110.0000000000	0.0659200000	0.3186000000	0.0438628051
1120.0000000000	0.0574200000	0.3171500000	0.0438428175
1130.0000000000	0.0483600000	0.3161000000	0.0438428175
1140.0000000000	0.0396300000	0.3161000000	0.0438727989
1150.0000000000	0.0308400000	0.3161000000	0.0438727989
1160.0000000000	0.0226350000	0.3159000000	0.0438727989
1170.0000000000	0.0150220000	0.3154000000	0.0438428175
1180.0000000000	0.0083620000	0.3138000000	0.0438328236
1190.0000000000	0.0035550000	0.3122500000	0.0438328236
1200.0000000000	0.0015650000	0.3090000000	0.0438328236
