348.5,0.482,8.46E+17,13.01
349,0.4643,8.16E+17,13.25
349.5,0.4767,8.39E+17,13.48
350,0.5264,9.28E+17,13.73
350.5,0.5658,9.98E+17,14.01
351,0.5501,9.72E+17,14.29
351.5,0.5287,9.36E+17,14.56
352,0.5164,9.15E+17,14.82
352.5,0.4882,8.66E+17,15.07
353,0.5189,9.22E+17,15.32
353.5,0.5706,1.02E+18,15.59
354,0.6032,1.08E+18,15.89
354.5,0.6098,1.09E+18,16.19
355,0.6096,1.09E+18,16.49
355.5,0.5886,1.05E+18,16.79
356,0.5523,9.90E+17,17.08
356.5,0.5179,9.30E+17,17.35
357,0.4554,8.18E+17,17.59
357.5,0.4608,8.29E+17,17.82
358,0.4288,7.73E+17,18.04
358.5,0.3981,7.19E+17,18.25
359,0.4682,8.46E+17,18.46
359.5,0.5639,1.02E+18,18.72
360,0.5964,1.08E+18,19.01
360.5,0.5637,1.02E+18,19.3
361,0.5187,9.43E+17,19.57
361.5,0.5081,9.25E+17,19.83
362,0.5327,9.71E+17,20.09
362.5,0.5834,1.07E+18,20.37
363,0.6002,1.10E+18,20.66
363.5,0.5837,1.07E+18,20.96
364,0.6045,1.11E+18,21.26
364.5,0.5988,1.10E+18,21.56
365,0.6218,1.14E+18,21.86
365.5,0.6843,1.26E+18,22.19
366,0.7332,1.35E+18,22.54
366.5,0.7344,1.36E+18,22.91
367,0.7208,1.33E+18,23.28
367.5,0.7071,1.31E+18,23.63
368,0.6657,1.23E+18,23.98
368.5,0.6612,1.23E+18,24.31
369,0.6911,1.28E+18,24.65
369.5,0.7425,1.38E+18,25
370,0.7529,1.40E+18,25.38
370.5,0.6806,1.27E+18,25.74
371,0.6914,1.29E+18,26.08
371.5,0.7184,1.34E+18,26.43
372,0.6725,1.26E+18,26.78
372.5,0.6407,1.20E+18,27.11
373,0.6171,1.16E+18,27.42
373.5,0.5562,1.05E+18,27.72
374,0.5548,1.05E+18,27.99
374.5,0.5507,1.04E+18,28.27
375,0.5876,1.11E+18,28.55
375.5,0.6497,1.23E+18,28.86
376,0.6728,1.27E+18,29.19
376.5,0.662,1.26E+18,29.53
377,0.7102,1.35E+18,29.87
377.5,0.7922,1.51E+18,30.25
378,0.8535,1.62E+18,30.66
378.5,0.8318,1.59E+18,31.08
379,0.7417,1.42E+18,31.47
379.5,0.6649,1.27E+18,31.82
380,0.6987,1.34E+18,32.17
380.5,0.7486,1.43E+18,32.53
381,0.7616,1.46E+18,32.9
381.5,0.6864,1.32E+18,33.27
382,0.5851,1.13E+18,33.58
382.5,0.5061,9.75E+17,33.86
383,0.4537,8.75E+17,34.1
383.5,0.4392,8.48E+17,34.32
384,0.5082,9.82E+17,34.56
384.5,0.6118,1.18E+18,34.84
385,0.6716,1.30E+18,35.16
385.5,0.6418,1.25E+18,35.49
386,0.6192,1.20E+18,35.8
386.5,0.6438,1.25E+18,36.12
387,0.6496,1.27E+18,36.44
387.5,0.6402,1.25E+18,36.76
388,0.634,1.24E+18,37.08
388.5,0.6295,1.23E+18,37.4
389,0.6834,1.34E+18,37.73
389.5,0.7575,1.49E+18,38.09
390,0.7947,1.56E+18,38.47
390.5,0.8014,1.58E+18,38.87
391,0.8489,1.67E+18,39.29
391.5,0.8609,1.70E+18,39.71
392,0.7926,1.56E+18,40.13
392.5,0.6606,1.31E+18,40.49
393,0.4784,9.46E+17,40.77
393.5,0.3804,7.54E+17,40.99
394,0.4942,9.80E+17,41.21
394.5,0.6819,1.35E+18,41.5
395,0.8054,1.60E+18,41.87
395.5,0.8579,1.71E+18,42.29
396,0.7544,1.50E+18,42.69
396.5,0.5486,1.10E+18,43.02
397,0.425,8.49E+17,43.26
397.5,0.6276,1.26E+18,43.52
398,0.85,1.70E+18,43.89
398.5,1.004,2.01E+18,44.36
399,1.0662,2.14E+18,44.88
399.5,1.0989,2.21E+18,45.42
400,1.1109,2.24E+18,45.97
401,1.1569,2.34E+18,47.1
402,1.2026,2.43E+18,48.28
403,1.1579,2.35E+18,49.46
404,1.1767,2.39E+18,50.63
405,1.1478,2.34E+18,51.79
406,1.1194,2.29E+18,52.93
407,1.0994,2.25E+18,54.04
408,1.1481,2.36E+18,55.16
409,1.2263,2.53E+18,56.35
410,1.0455,2.16E+18,57.48
411,1.1704,2.42E+18,58.59
412,1.2442,2.58E+18,59.8
413,1.1936,2.48E+18,61.02
414,1.1808,2.46E+18,62.2
415,1.2222,2.55E+18,63.41
416,1.2587,2.64E+18,64.65
417,1.2276,2.58E+18,65.89
418,1.1743,2.47E+18,67.09
419,1.2222,2.58E+18,68.29
420,1.1199,2.37E+18,69.46
421,1.272,2.70E+18,70.66
422,1.2547,2.67E+18,71.92
423,1.2149,2.59E+18,73.15
424,1.2082,2.58E+18,74.36
425,1.2452,2.66E+18,75.59
426,1.21,2.60E+18,76.82
427,1.169,2.51E+18,78.01
428,1.1805,2.54E+18,79.18
429,1.0931,2.36E+18,80.32
430,0.8721,1.89E+18,81.3
431,0.7916,1.72E+18,82.13
432,1.3169,2.86E+18,83.19
433,1.2252,2.67E+18,84.46
434,1.1319,2.47E+18,85.64
435,1.2416,2.72E+18,86.83
436,1.3619,2.99E+18,88.13
437,1.3903,3.06E+18,89.5
438,1.2203,2.69E+18,90.81
439,1.1741,2.60E+18,92.01
440,1.346,2.98E+18,93.27
441,1.3274,2.95E+18,94.6
442,1.4209,3.16E+18,95.98
443,1.4411,3.21E+18,97.41
444,1.4043,3.14E+18,98.83
445,1.4577,3.27E+18,100.26
446,1.307,2.93E+18,101.64
447,1.486,3.34E+18,103.04
448,1.5037,3.39E+18,104.53
449,1.5001,3.39E+18,106.04
450,1.555,3.52E+18,107.56
451,1.6126,3.66E+18,109.15
452,1.5437,3.51E+18,110.73
453,1.4256,3.25E+18,112.21
454,1.5291,3.50E+18,113.69
455,1.518,3.48E+18,115.21
456,1.5678,3.60E+18,116.75
457,1.5808,3.64E+18,118.33
458,1.5469,3.57E+18,119.89
459,1.5346,3.55E+18,121.43
460,1.5247,3.53E+18,122.96
461,1.5781,3.66E+18,124.51
462,1.5929,3.71E+18,126.1
463,1.5985,3.73E+18,127.7
464,1.5499,3.62E+18,129.27
465,1.5305,3.58E+18,130.81
466,1.5628,3.67E+18,132.36
467,1.493,3.51E+18,133.88
468,1.5574,3.67E+18,135.41
469,1.5637,3.69E+18,136.97
